id,title,type,status,ProcessingTime,Participation,Consensus
236,AI Assisted Deployment Tool on AkashCloudmos,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.992272159,0.3853
31,Akash Cosmos Zero Offset Akash Validator Set Signaling proposal,TextProposal,REJECTED,"8 days, 15 hours 54 minutes",0.965855218,0.672
253,Streamline OpenSource LLMs Deployment from HuggingFace onto Akash,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.9414937,0.9127
185,Community Funding request for Cloudmos,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.92265042,0.7441
222,v0240,SoftwareUpgradeProposal,REJECTED,"7 days, 0 hours 0 minutes",0.87975082,0.9437
233,Reduce Maximum Block Size,ParameterChangeProposal,REJECTED,"7 days, 0 hours 0 minutes",0.854973653,0.6189
266,FINAL PAYMENT FOR COMPLETED MILESTONES Adding Full Akash Support  Features to the Cosmos Metamask Snap,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.79942346,0.8933
235,Incentivized AKT Lending Pool on Nitron,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.667401564,0.6928
275,Proposal Log Forwarding Integration for the Akash Network,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.629049302,0.7016
276,Akash Community MarketingSupport Team Proposal,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.610326999,0.9038
307,REVISED Digital Immortality Framework  Autonomous Agent Infrastructure on Akash Network,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.571700879,0.1165
302,Akash Adoption Lab,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.554625272,0.9133
11,BidMinDeposit Param Change,ParameterChangeProposal,REJECTED,"14 days, 11 hours 26 minutes",0.524634593,0.7534
305,Zealy 2025 Program Q4,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.483257074,0.2476
304,Digital Immortality Framework  Autonomous Agent Infrastructure on Akash Network,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.4782288,0.8934
180,ARBITRUM Airdrop,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.451309581,0.9987
206, ATOM Airdrop ,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.430425387,0.9993
179,AKASH  LUNA Airdrop ,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.419708745,0.999
175,Akash New Version ,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.416141026,0.9996
192, Akash Airdrop ,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.397970295,0.9998
216,Community Funding for Cloudmos Acquisition,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",1.0,0.999
27,v0180,SoftwareUpgradeProposal,PASSED,"7 days, 0 hours 4 minutes",1.0,0.9998
224,v0240,SoftwareUpgradeProposal,PASSED,"7 days, 0 hours 4 minutes",1.0,0.9993
252,Coinbase Learning Rewards and Quests,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 4 minutes",1.0,0.7548
29,v0200,SoftwareUpgradeProposal,PASSED,"7 days, 0 hours 5 minutes",1.0,0.9999
8,Inflation Update 20,ParameterChangeProposal,PASSED,"14 days, 0 hours 0 minutes",1.0,0.9866
186,Akash Hackathon Proposal,TextProposal,PASSED,"7 days, 1 hours 43 minutes",1.0,0.9995
187,2023 Akash Events Resourcing Proposal,TextProposal,PASSED,"7 days, 0 hours 0 minutes",1.0,0.8323
15,Inflation Update 30,ParameterChangeProposal,PASSED,"14 days, 0 hours 2 minutes",1.0,0.995
6,Enable IBC transfers,ParameterChangeProposal,PASSED,"14 days, 0 hours 15 minutes",0.997571393,1.0
199,Akash Hackathon Proposal,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",0.981347905,0.9941
