id,title,type,status,ProcessingTime,Participation,Consensus
873,ATOM Airdrop  2024 New Version ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 3 minutes",0.400051235,0.9964
876,New dApps on Atom    Stay up to date ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.400386459,0.993
969,Gateway to the Interchain  Ethereum ecosystem,Text,REJECTED,"14 days, 0 hours 0 minutes",0.400792902,0.9851
961,ATOM Airdrop   GET  Liquid Staking ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.402273976,0.9997
875,ATOM Airdrop  New Deluxe version,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 3 minutes",0.402505807,0.997
960,ATOM Airdrop     New Airdrop  September 2024 ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.404805117,0.9995
929, Atom Airdrop Available    Try New Version ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.406601306,0.9983
847,Atom Airdrop   New Lightning Network ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.408570438,0.9926
796,Nullify proposal 75,MsgExecLegacyContent,REJECTED,"14 days, 1 hours 30 minutes",0.412880653,0.3419
956,Update the Hubs stATOMATOM POL position on Osmosis,MsgExecLegacyContent,REJECTED,"14 days, 4 hours 41 minutes",0.413878093,0.8884
849,Atom Airdrop   Discover The Premium Network,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 2 minutes",0.415172268,0.9958
852,Celestia Airdrop TIA  Revote this ATOM Proposal,MsgExecLegacyContent,REJECTED,"18 days, 10 hours 42 minutes",0.417309276,0.9974
1001,Whitelist BackBone Labs Developer Wallet for BackBone Labs Smart Contracts,MsgUpdateParams,REJECTED,"7 days, 0 hours 0 minutes",0.41779376,0.7682
898,Dogecoin on Atom   New dApps on Atom ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.420960482,0.9981
894,Atom Halving 20 Rewards ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.42130114,0.9987
83,Atom One Constitution sentiment proposal,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.421486225,0.8835
959, Atom SURPRISE Proposal  RePayment 201,Text,REJECTED,"14 days, 0 hours 0 minutes",0.422605226,0.9994
896,2024 New Version   New dApps on Atom ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.422644495,0.9982
1012,Migrate Stride to optin PSS,MsgUpdateConsumer,REJECTED,"7 days, 0 hours 0 minutes",0.428175231,0.5862
891,Allocate 900k ATOM for The Next  Atom Airdrop ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.430591364,0.999
942, New Atom Airdrop  New Update Cosmos Hub  ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.437757939,0.9997
906,ATOM Airdrop   Cosmos Hub Proposal ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.441488604,0.9987
1013,Migrate Stride to optin PSS,MsgUpdateConsumer,REJECTED,"7 days, 0 hours 0 minutes",0.44158164,0.9546
916,DoraHacks AEZ Quadratic Funding Program,Text,REJECTED,"14 days, 0 hours 0 minutes",0.443393637,0.4829
919, Avail x Cosmos airdrop,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.443848465,0.9978
953,ATOM Airdrop    Hot Airdrop   New Version 2024,Text,REJECTED,"14 days, 0 hours 0 minutes",0.451959752,0.9987
933, Atom Airdrop   2024 Cosmos airdrop  ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.462803066,0.9966
923,New Atom Airdrop ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.469778996,0.9996
791,Legal Defense Fund Proposal,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.474674147,0.8311
905,SAGA x Cosmos airdrop,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.479168223,0.9996
827,Reduce Maximum Block Size,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.485593821,0.3734
932,Namada x Cosmos airdrop,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.486784848,0.9979
900,ATOM Airdrop   Cosmos Hub Proposal  ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.487763454,0.9975
936,ATOM AirDrop   New AirDrop Checker ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.488700936,0.9989
915, SEDA x Cosmos airdrop,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.493630207,0.9981
939,Layerzero ZRO x Cosmos airdrop,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.494333498,0.999
941,ATOM Airdrop   Layerzero Airdrop ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.494511164,0.9991
904,ATOM Airdrop   Cosmos Hub Proposal ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.497014422,0.9992
902,ATOM Airdrop   Cosmos Hub Proposal ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.497933291,0.9963
903,SAGA x Cosmos airdrop,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.497964591,0.9983
836,Vitwits Funding Proposal Support Resolute,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 3 minutes",0.498791713,0.2601
934,ATOM Airdrop  Cosmo Hub New Version  ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.500808652,0.9975
938,New Atom Airdrop    Built by Mintscan Team ,Text,REJECTED,"14 days, 0 hours 0 minutes",0.500856856,0.9985
901,Namada x Cosmos airdrop,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.502192299,0.9936
908,ATOM Airdrop   Cosmos Hub Proposal ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.502995813,0.9988
907,Namada x Cosmos airdrop,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.503298158,0.9968
910,Namada x Cosmos airdrop,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.50353281,0.9989
909,Atom Airdrop    Expires in 24 hours ,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.503541141,0.9991
856,Funding the first inscription COSS on Cosmos,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.504750912,0.9897
