id,title,type,status,ProcessingTime,Participation,Consensus
17,Add ORDIUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.349417767,0.9984
8,dYdX Foundation 30M Fundraising,MsgSendFromModuleToAccount,PASSED,"4 days, 0 hours 0 minutes",0.351428262,0.9988
51,Launch Incentives  Season 3 Distribution,MsgSendFromModuleToAccount,PASSED,"4 days, 0 hours 0 minutes",0.352792045,0.9999
184,Megavault Rebalance,MsgRetrieveFromVault,PASSED,"1 days, 0 hours 0 minutes",0.357627965,0.9999
9,Launch Incentives  Season 1 Distribution,MsgSendFromModuleToAccount,PASSED,"4 days, 0 hours 0 minutes",0.364783503,0.9997
195,Kuyen Labs  VIP Affiliate Whitelist Proposal,MsgUpdateAffiliateWhitelist,PASSED,"4 days, 0 hours 0 minutes",0.365313793,0.9946
197,Wind down FTMUSD market,MsgUpdateClobPair,PASSED,"1 days, 0 hours 0 minutes",0.372855309,0.9999
11,Add JUPUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.373115137,0.9999
24,Add WOOUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.378453972,0.8461
27,Add AGIXUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.38037699,0.9997
29,Add STXUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.382145985,0.9998
23,Add FETUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.387650328,0.9999
16,Add JTOUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.388178754,0.9999
220,Update default funding for isolated markets  Final Proposal,MsgUpdatePerpetualParams,PASSED,"4 days, 0 hours 0 minutes",0.389442804,0.9999
22,Add STRKUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.390256879,0.9998
32,Launch Incentives  Season 2 Distribution,MsgSendFromModuleToAccount,PASSED,"4 days, 0 hours 0 minutes",0.391559054,0.9886
45,Transition DOT to a Foundation,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.393001358,0.9998
14,Addition of New Trustees to the DOT,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.393503292,0.9999
55,Add WIFUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.3937849,0.9996
18,Add EOSUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.396857362,0.9995
25,Add PYTHUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.397752782,0.9998
28,Add RNDRUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.398097921,0.9999
34,Add ALGOUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.398257263,0.9999
21,Add DYMUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.398305043,0.9999
26,Add BONKUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.39874241,0.9997
20,Add ICPUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.399560834,0.9998
33,Add HBARUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.400812075,0.9999
54,Launch Incentives Program Extension,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.408993189,0.9997
49,dYdX Executable Community Staking Proposal,MsgSendFromModuleToAccount,PASSED,"4 days, 0 hours 8 minutes",0.410883431,0.9816
35,Add GRTUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.411589284,0.9881
36,Add MANAUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.420995419,0.9998
40,Add ASTRUSD perpetual market,MsgCreateOracleMarket,PASSED,"4 days, 0 hours 0 minutes",0.422554037,0.9996
315,Set defaultFundingRate1H to 0 for EIGENUSD ENAUSD HYPEUSD KAITOUSD MNTUSD MORPHOUSD MOVEUSD and ONDOUSD markets,MsgUpdatePerpetualParams,PASSED,"2 days, 0 hours 0 minutes",0.425449025,0.9999
226,Upgrade below markets from ISOLATED to CROSS,MsgUpgradeIsolatedPerpetualToCross,PASSED,"4 days, 0 hours 0 minutes",0.426277074,0.9999
