id,title,type,status,ProcessingTime,Participation,Consensus
119,Add CMST Metadata to Gravity Bridge,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 22 minutes",1.0,0.4158
118,Add CMDX Metadata to Gravity Bridge,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 25 minutes",1.0,0.4192
120,Setup Comdex IBC AutoForwarding,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 4 minutes",1.0,0.4215
70,Pleiades Upgrade  Phase I,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",1.0,0.5092
97,Setup USTC IBC AutoForwarding,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.999175938,0.246
130,USDC Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.938701974,0.8954
132,USDC Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.919369985,0.8031
98,Setup LUNC IBC AutoForwarding,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.916550693,0.238
127,USDC Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.873467548,0.9919
135,APTOS Airdrop for COSMOS stakers,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.864945002,0.9922
69,Pleiades Upgrade  Phase I,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 4 minutes",0.829627093,0.9013
137,Atom Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.822614839,0.9998
211,The Apollo Upgrade,MsgExecLegacyContent,REJECTED,"6 days, 23 hours 41 minutes",0.822484975,0.9988
138,ATOM Airdrop for COSMOS stakers,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.818843536,0.9997
143,ATOM Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.809252038,0.9999
145,USDC Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.807882359,0.9999
144,decrease minimum proposal deposit to 900 GRAV ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.80296935,0.9979
136,Gravity Bridge 20  VOTE YES ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.798435549,0.9968
94,Setup ISLM IBC AutoForwarding,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.796022482,0.6349
146,ATOM Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.794025295,0.9999
214,Add ARCH token to Gravity Bridge,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 7 minutes",0.784968457,0.4939
151,ATOM Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.77850449,0.9997
150,ATOM Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.770463454,0.9998
147,ATOM Airdrop for COSMOS stakers,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.769852535,0.9999
149,ATOM Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.768558432,0.9999
148,ATOM Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.768538787,0.9999
181,Compensation to cosmos holders,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.756587679,0.8173
228,Explore DeFi on Cosmos,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.706438568,0.9986
209, Gravity Airdrop  ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.692304531,0.9981
184,USDC Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.679391928,0.9997
175,Gravity Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.668168779,0.9942
213,Atom Airdrop   New Lightning Network,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.665285426,0.9999
20,register HUAHUA token metadata,MsgExecLegacyContent,REJECTED,"2 days, 0 hours 0 minutes",0.594660603,0.1925
246,Integration of Gravity Bridge into Nebula7 for Quick CryptoBacked Loans,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.480614723,0.9999
