id,title,type,status,ProcessingTime,Participation,Consensus
189,Upload Injective Adapter Contract,MsgExecLegacyContent,PASSED,"4 days, 0 hours 10 minutes",0.337587205,0.9925
194,Trade and Earn rewards allocation,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.337714636,0.9921
187,Wormhole  Upload Core Bridge Shutdown Contract,MsgExecLegacyContent,PASSED,"4 days, 1 hours 29 minutes",0.338847423,0.9927
188,Wormhole  Upload Token Bridge Shutdown Contract,MsgExecLegacyContent,PASSED,"4 days, 1 hours 29 minutes",0.33886945,0.9926
184,Wormhole  Upload Core Contract,MsgExecLegacyContent,PASSED,"4 days, 0 hours 8 minutes",0.339442387,1.0
173,Disbursement of DMM rewards for epoch ended on 9 September 2022,MsgExecLegacyContent,PASSED,"4 days, 6 hours 53 minutes",0.340347479,0.9878
542,Unpause iMETAUSDT Perp Market on Injective Exchange dApps,MsgBatchExchangeModification,PASSED,"1 days, 2 hours 19 minutes",0.34858762,0.9999
572,Whitelisting Strategic Partner Addresses for Controlled Rollout of EVM on Mainnet V,MsgUpdateParams,PASSED,"1 days, 0 hours 30 minutes",0.348786146,0.9999
181,Trade  Earn rewards points adjustment for epoch ended Nov 2 2022 UTC,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.349246249,0.993
186,Wormhole  Upload CW20 Wrapped Contract,MsgExecLegacyContent,PASSED,"4 days, 0 hours 27 minutes",0.350632578,0.993
177,Trade  Earn rewards points adjustment for epoch ended Oct 12 2022 UTC,MsgExecLegacyContent,PASSED,"4 days, 7 hours 52 minutes",0.352422896,0.9988
182,Injective Mainnet Upgrade v18,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.356275712,0.9939
530,Update Minimum Price and Quantity Tick Sizes for PUGGOINJ market on Injective Exchange dApps,MsgBatchExchangeModification,PASSED,"1 days, 0 hours 1 minutes",0.381863993,0.9999
200,Disbursement of DMM rewards for epoch ended on 27 December 2022 and 24 Jan 2023,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.390013676,0.9926
577,Whitelisting Strategic Partner Addresses for Controlled Rollout of EVM on Mainnet X,MsgUpdateParams,PASSED,"2 days, 20 hours 56 minutes",0.393931708,0.9999
203,Increase the Validator Set to 60,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.402570874,0.9781
196,Trade and Earn rewards allocation,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.407564143,0.9928
515,Decrease hourly funding rate cap for various RWA markets,MsgBatchExchangeModification,PASSED,"1 days, 0 hours 4 minutes",0.408249768,0.9999
176,Disbursement of DMM rewards for epoch ended on 4 October 2022,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.412360505,0.9913
179,Trade  Earn rewards points adjustment for epoch ended Oct 19 2022 UTC,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.414455916,0.9902
197,BONK Price Feed Oracle Integration,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.41484221,0.9938
568,Whitelisting Strategic Partner Addresses for Controlled Rollout of EVM on Mainnet IV,MsgUpdateParams,PASSED,"1 days, 0 hours 6 minutes",0.418327811,0.9999
538,Update Various iAsset Hourly Funding Rate Caps on Injective Exchange dApps,MsgBatchExchangeModification,PASSED,"1 days, 0 hours 15 minutes",0.421209088,0.9999
204,Upgrade expired IBC client,MsgExecLegacyContent,PASSED,"4 days, 0 hours 2 minutes",0.426782331,0.9947
546,Launch NVIDIA H100 Hourly Perpetuals on Injective Exchange dApps,MsgBatchExchangeModification,PASSED,"4 days, 0 hours 9 minutes",0.426876005,0.9999
235,Settle STXUSDT perp market,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.430468351,0.9914
236,Settle LUNAUST perp market,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.430804143,0.9919
201,Trade and Earn rewards allocation,MsgExecLegacyContent,PASSED,"4 days, 0 hours 0 minutes",0.43410612,0.9936
208,Dual Incentives for Astroport Genesis Pools,MsgExecLegacyContent,PASSED,"4 days, 0 hours 5 minutes",0.437852088,0.9936
