id,title,type,status,ProcessingTime,Participation,Consensus
166,Supply Funds into Kava Mint,MsgExec,REJECTED,"7 days, 0 hours 0 minutes",0.631170872,0.5911
80,Kava 10 Software Upgrade Proposal,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.575754029,0.8505
96,EVM Infrastructure Funding Proposal,MsgExecLegacyContent,REJECTED,"7 days, 23 hours 12 minutes",0.566922836,0.4031
120,Kava 12 Software Upgrade Proposal,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.51873538,0.7113
100,Kava 11 Software Upgrade Proposal,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.504644772,0.8507
121,Kava 12 Software Upgrade Proposal,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.486546014,0.7059
10,Activate usdx incentive rewards,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 9 minutes",0.474772716,0.7392
149,Adds EIP712 allowed messages,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.437492445,0.3437
71,Kava Swap incentivized testnet winner payouts,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.433746883,0.9487
7,Kava 3 Upgrade Proposal,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 1 minutes",0.415325215,0.6407
11,Activate usdx incentive rewards,MsgExecLegacyContent,REJECTED,"14 days, 0 hours 0 minutes",0.415008699,0.7848
154,Kava Rise payouts for July 2023,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.411187276,0.6168
18,A USDX Incentives for BUSD,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.394346483,0.8916
88,Adjust annual inflation for Kava stakers from 20 to 17,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.350881837,0.7941
174, USD Airdrop   New Atom Liquidity ,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.348976094,0.9939
184, Kava New Version  USDX Airdrop ,Text,REJECTED,"7 days, 0 hours 0 minutes",0.325224814,0.9992
110,Revive IBC Client to Oppy Chain,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.30601839,0.9931
92,Set validator minimum commission rate to 5,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 2 minutes",0.303378482,0.7611
101,Ethermint Funding Proposal For Past Development Addressed from The Evmos Community to The Kava Community,MsgExecLegacyContent,REJECTED,"11 days, 3 hours 34 minutes",0.281163341,0.4763
39,Kava 51 Upgrade Proposal,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.274940736,0.7275
67,Increase Kava Lend debt limit for XRPB collateral,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.253954143,0.954
116,Remove Community Pool Funds From Earn Vault,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.246287011,0.9734
115,Kava Rise payouts for November 2022,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.243651364,0.9616
82,Adjust UST in Kava Mint,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.226470661,0.7028
168,Kava 15 Mainnet Upgrade,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.736659958,0.9999
79,Enable delegators to withdraw to a different address,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.718969149,0.9937
167,Kava Rise payouts for October 2023,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.690991321,0.998
165,Injective USDt Adoption,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.670457687,0.996
173,Kava Rise payouts for January 2024,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.666440456,0.9982
176,Kava Rise payouts for February 2024,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.66584553,0.9962
139,Kava 13 Mainnet Upgrade,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.661046246,0.9999
175,WAGMIwKAVA LP Authorization,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.656432202,0.9943
178,Kava 16 Mainnet Upgrade,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.643190559,0.9999
179,Kava Rise payouts for April 2024,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.638658291,0.9953
164,Kava Rise payouts for September 2023,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.637558553,0.9999
138,Deposit Funds into Kava Lend,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.634758199,0.9543
140,Kava Rise payouts for April 2023,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.633998871,0.9991
136,Addition of Multichain USDCwBTCUSDT to Kava Lend,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.633849952,0.9999
148,Kava Rise payouts for June 2023,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.631635472,0.979
142,Deposit Funds into Kava Lend,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.622042863,0.9089
141,Kava Horizon signaling proposal,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.618359074,0.6134
194,Kava 17 Mainnet Upgrade,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.61738893,0.9999
144,Kava Rise payouts for May 2023,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.615737129,0.9999
155,Kava Rise payouts for July 2023,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.610921023,0.9834
172,WAGMI Pool Creation on Kinetix,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.607822346,0.9973
197,Kava 18 Mainnet Upgrade,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.607298318,0.9999
160,Abracadabra Joins Kava Ignition,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.603503493,0.9797
147,Adds Tether USDt to kava lend and adjusts incentives,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.602133491,0.9796
159,Kinetix Joins Kava Ignition,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.598483951,0.9813
84,Kava 10 Software Upgrade Proposal,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.598063115,0.9999
188,Kava Rise Payouts August 2024,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.593793181,0.9986
143,Adds Axelar WBTC to kava Lend and adjusts incentives,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.587850717,0.9969
83,Remove UST from Kava Mint,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.587450823,0.9971
150,Adds EIP712 allowed messages,MsgUpdateParams,PASSED,"7 days, 0 hours 0 minutes",0.585724638,0.9839
156,Update Stability Committee Permissions to Include USDt in Lend and Mint,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.579783604,0.9826
54,Decrease BUSDA CDP APY to 0,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.575790244,0.9995
163,WAGMI Deploys on Kava,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.572737344,0.9956
53,Add 30 minute TWAP pricefeed for USDX,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.571616588,0.9996
16,Harvest Proposal,MsgExecLegacyContent,PASSED,"14 days, 0 hours 0 minutes",0.569616603,0.9999
24,A USDX Incentives for XRP,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.569505421,0.9995
59,Kava 8 Upgrade Signaling Proposal,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.568749469,0.9987
137,Add Kava Origin to Kava Infrastructure and Security Rewards,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.568727008,0.9075
153,Increases USDt incentives removes various asset incentives in Kava Lend,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.564481864,0.9784
25,Add KAVA to the list of allowed CDP collaterals,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.55936745,0.9999
195,Kava Rise Payouts November 2024,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.555441876,0.9998
162,Kava Rise payouts for August 2023,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.552181764,0.9765
104,Adjusts Kava incentive rewards for Swap Lend and Boost and KAVA stakers Adds parameters for Multichain Dai USDT to earn module ,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.545568138,0.9335
189,Extend incentive reward periods for Kava Earn and Kava Lend,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.544834134,0.9998
103,Community pool deposit to Earn,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.542377824,0.9442
193,Kava Rise Payouts October 2024,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.541839956,0.9998
157,Kava Ignition Program,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.540909493,0.9808
200,Kava Rise Payouts March 2025,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.539654005,0.9995
126,Adjust incentive rewards and staking incentives,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.539419367,0.9384
125,Launch the 1000000 AKT Akash Open Cloud Kava Validator Campaign,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.538091156,0.9993
198,Kava Rise Payouts January 2025,MsgExec,PASSED,"7 days, 0 hours 0 minutes",0.538075181,0.9993
152,Adds Tether USDt to Mint,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.536952639,0.9813
1,Enable Transactions Param Change,MsgExecLegacyContent,PASSED,"16 days, 8 hours 17 minutes",0.53689948,1.0
17,Kava 4 Upgrade Proposal,MsgExecLegacyContent,PASSED,"14 days, 0 hours 0 minutes",0.536429034,0.9998
128,Support Decentralization and Security on the Kava Network,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.533367486,0.4173
