id,title,type,status,ProcessingTime,Participation,Consensus
83,PersistenceCore v11,MsgSoftwareUpgrade,REJECTED,"5 days, 0 hours 0 minutes",0.894044674,0.7157
47,ATOM Airdrop  ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.651507064,0.8992
50,Atom x Celestia Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.618824478,0.9604
49,XPRT Airdrop  ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.609834099,0.9999
53,ATOM Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.59820193,0.9669
46,ATOM Airdrop ,MsgExecLegacyContent,REJECTED,"5 days, 0 hours 0 minutes",0.551451186,0.9185
69,Incentivization of Dexter pools with XPRT from Dexter Grant for February 2024,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.938431936,0.9999
68,PersistenceCore v1040,MsgSoftwareUpgrade,PASSED,"5 days, 0 hours 0 minutes",0.932731952,1.0
70,Allocate 1M XPRT for XPRT liquidity and Dexter incentives for 6 months,MsgCommunityPoolSpend,PASSED,"5 days, 0 hours 0 minutes",0.930066726,0.9999
76,PersistenceCore v1041,MsgSoftwareUpgrade,PASSED,"5 days, 0 hours 0 minutes",0.92267198,0.982
75,Create stkDYDXDYDX metastable pool on Dexter,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.917394214,0.9999
74,Upgrade Dexter Governance admin contract to fix the pool creation bug,MsgMigrateContract,PASSED,"5 days, 0 hours 0 minutes",0.911144515,0.9999
100,PersistenceCore v11110,MsgSoftwareUpgrade,PASSED,"5 days, 0 hours 0 minutes",0.906415722,1.0
104,Create new WBTCXPRT Weighted Pool on Dexter,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.903369646,1.0
103,Fix Configuration for Upgraded Dexter pool smart contracts,MsgUpdateInstantiateConfig,PASSED,"5 days, 0 hours 0 minutes",0.902716695,1.0
107,Incentivization of Dexter pools with XPRT stkXPRT and PSTAKE rewards for June 2024,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.896076106,0.9999
72,Incentivize stkATOMATOM pool on Dexter with 150k PSTAKE tokens in February 2024,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.894710304,0.9999
65,XPRT Liquidity Bootstrapping XLB incentives on Dexter and Osmosis  January 2024,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.883868873,0.9996
73,XPRT Liquidity Bootstrapping XLB incentives on Dexter and Osmosis  February 2024,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.882757765,0.9999
106,Recover Carbon IBC transfer channel,MsgExecLegacyContent,PASSED,"5 days, 1 hours 9 minutes",0.879419763,0.9999
92,Contract Instantiation Dexter Superfluid LP contract,MsgInstantiateContract,PASSED,"5 days, 0 hours 0 minutes",0.878442084,0.9999
78,Create XPRTSHD pool on Dexter,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.876247618,0.9999
80,Create new STARSstkSTARS Metastable Pool on Dexter,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.869793188,0.9995
91,Contract Migration Migrate MultiStaking Contract on Dexter to version 31,MsgMigrateContract,PASSED,"5 days, 0 hours 0 minutes",0.869641005,0.9999
90,PersistenceCore v1190,MsgSoftwareUpgrade,PASSED,"5 days, 0 hours 0 minutes",0.869572655,0.9999
89,Fix PSTAKE incentive schedule for Dexter pools for April 2024,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.86617892,0.9999
55,PersistenceCore v10 Annapurna Upgrade,MsgSoftwareUpgrade,PASSED,"5 days, 0 hours 0 minutes",0.865162952,1.0
87,Incentivization of Dexter pools with XPRT and PSTAKE rewards for April 2024,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.864067674,0.9998
67,PersistenceCore v1030 Upgrade,MsgSoftwareUpgrade,PASSED,"5 days, 0 hours 0 minutes",0.857549169,1.0
61,Transfer Dexter Vault and Multistaking contract ownership to the Governance Admin Contract,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.848939518,1.0
86,Create new HUAHUAstkHUAHUA Metastable Pool on Dexter,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.848764043,0.9999
105,PersistenceCore v11120,MsgSoftwareUpgrade,PASSED,"5 days, 0 hours 0 minutes",0.848252543,0.9999
95,Disable Instant LP Unbonding for stkXPRTXPRT Pool,MsgExecuteContract,PASSED,"5 days, 0 hours 0 minutes",0.847596785,0.9997
84,PersistenceCore v11,MsgSoftwareUpgrade,PASSED,"5 days, 0 hours 0 minutes",0.843704981,1.0
99,Upgrading Dexter Smart Contracts for Enhanced Functionality,MsgMigrateContract,PASSED,"5 days, 0 hours 0 minutes",0.843572153,0.9999
56,Allowlist all messages via interchain host module,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.836511914,0.9999
48,XPRT Liquidity Bootstrapping incentives October 2023,MsgExecLegacyContent,PASSED,"5 days, 0 hours 2 minutes",0.836498967,0.9947
51,Increase minimum governance deposit,MsgUpdateParams,PASSED,"5 days, 21 hours 29 minutes",0.833098786,0.9999
