id,title,type,status,ProcessingTime,Participation,Consensus
130,The max voting power signaling proposal,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.99879104,0.0159
284,2023Q4 Governance Committee,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 2 minutes",0.89368225,0.1356
107,Increase Max Validators to 90,ParameterChangeProposal,REJECTED,"7 days, 0 hours 0 minutes",0.783410109,0.6033
113,Minimum Validator Commission Rate Parameter Signal,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.742403378,0.1927
95,Education funding proposal JunAug,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 41 minutes",0.739806327,0.0552
89,Gauge community interest in changing Secret Foundation from a for profit to a non profit,TextProposal,REJECTED,"7 days, 1 hours 0 minutes",0.683993541,0.4058
267,Proposal to Address the Tarantino Incident,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.680713477,0.6411
268,Secret Network v111 Upgrade,SoftwareUpgradeProposal,REJECTED,"7 days, 0 hours 0 minutes",0.659970777,0.8113
320,Secret Network v118 Upgrade,MsgSoftwareUpgrade,REJECTED,"7 days, 0 hours 0 minutes",0.656391671,0.2983
55,The Spartan Proposal,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 4 minutes",0.650637489,0.0075
143,Fadroma  Community Spend Proposal,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.637617638,0.995
97,Dev Committee Funding June 22  Sept 22,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.628121994,0.4432
299,MoneroKon Hackaton,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.601705268,0.3843
88,Community Spend Proposal  Multiplayer Poker,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.598770206,0.7786
279,Secret X DAO DAO Proposal,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 42 minutes",0.588272753,0.771
249,Funding to support Secret Networks participation in Cybertech Africa 2023,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.580488051,0.2309
292,New dApps on Atom   Stay up to date ,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.525066207,0.9995
305,SECRET Airdrop   Drop Liquid Staking ,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.507432654,0.9983
84,A Secret Network initiative to promote expansion and a more decentralized blockchain adoption in Iberoamerica,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.50712456,0.8145
173,Community Curated Bounty project CCBL  P2P NFT Trading Platform  ActiSwap feature on ActiList NFT marketplace,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.439290514,0.7743
124,StarShell Security Audit  Community Spend Proposal,CommunityPoolSpendProposal,REJECTED,"7 days, 0 hours 0 minutes",0.393333567,0.9974
273,Secret Airdrop  ,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.382284033,0.9997
297,Namada x Cosmos airdrop,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.362882968,0.9993
246,Layerzero airdrop,TextProposal,REJECTED,"7 days, 0 hours 0 minutes",0.357072712,0.9972
