id,title,type,status,ProcessingTime,Participation,Consensus
16,Minter Contract,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.249516742,0.4541
17,Whitelist Contract,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.251016003,0.4051
15,SG721 Contract,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.272642394,0.5385
35,Development Proposal,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.329571539,0.0963
142,Ethereum Airdrop,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.355057064,0.9529
11,Increase MaxValidators100 to MaxValidators125,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 46 minutes",0.358193057,0.5996
39,Marketplace Contract v1,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.360988744,0.9056
311,Stargaze Airdrop  Get Airdrop ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.366909447,0.628
123,ATOM Airdrop for COSMOS stakers,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.380480386,0.9974
323,STARGAZE Airdrop  Last Chance,Text,REJECTED,"3 days, 0 hours 0 minutes",0.386317466,0.9999
113,Stargaze Airdrop ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.388454084,0.9849
124,Stargaze Airdrop ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.396974512,0.9989
125, Stargaze Airdrop ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.397538285,0.9987
312,Feeling Lucky   Get Airdrop   STARGAZE,Text,REJECTED,"3 days, 0 hours 0 minutes",0.401719345,0.6585
116,Stargaze Airdrop ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.405596378,0.9961
119,Stargaze 20  VOTE YES ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.408146397,0.9975
118,APTOS Airdrop for COSMOS stakers,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 9 minutes",0.408296451,0.9945
117,Stargaze Airdrop ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.410636993,0.997
315,Get Airdrop   STARGAZE,Text,REJECTED,"3 days, 0 hours 0 minutes",0.411158626,0.9998
324,STARGAZE Airdrop   Last Chance,Text,REJECTED,"3 days, 0 hours 0 minutes",0.41253328,0.9999
120,APTOS Airdrop for COSMOS stakers,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 21 minutes",0.414474883,0.9968
320,STARGAZE Airdrop ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.418157698,0.9998
327,Borrow ATOM   buy Stargaze ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.42304634,0.9993
173,Stargaze NFT Airdrop ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.424109196,0.9948
318,Feeling Lucky   Get Airdrop ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.426151485,0.9997
313,ATOM Airdrop ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.436055425,0.6874
168,Stargaze Airdrop ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.442751417,0.9958
121,Atom Airdrop ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.447745012,0.9982
169,Layerzero airdrop,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.457215669,0.9995
328,   New Version  Borrow Stargaze,Text,REJECTED,"3 days, 0 hours 0 minutes",0.457381638,1.0
316,Feeling Lucky   Get Airdrop   STARGAZE,Text,REJECTED,"3 days, 0 hours 0 minutes",0.458815898,0.9997
317,Get Airdrop   STARGAZE,Text,REJECTED,"3 days, 0 hours 0 minutes",0.469474189,0.9996
314,Get Money Airdrop   Feeling Lucky  ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.473844694,0.9997
147,Funding for Confio developers of CosmWasm,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 17 minutes",0.478717834,0.9985
326, Integration of Stargaze into Nebula7 for Quick CryptoBacked Loans,Text,REJECTED,"3 days, 0 hours 0 minutes",0.480141734,0.9317
309,AtomONE Airdrop  New Airdrop ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.493961131,0.9977
322,STARGAZE Airdrop ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.501095758,0.9999
283,Bad Kids Airdrop   StarGaze Airdrop ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.501281686,0.9992
310,New NFT Game ,Text,REJECTED,"3 days, 0 hours 0 minutes",0.502424112,0.9972
58,Ethereum Onboarding Platform,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.504254069,0.6725
170,Stargaze Airdrop ,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.504776643,0.9968
163,CronCat Factory,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.511524503,0.9593
