id,title,type,status,ProcessingTime,Participation,Consensus
4797,TFL Delegation Equal Amount Delegation for Fairness,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",1.0,0.4128
870,Validator minimum commission update,MsgExecLegacyContent,REJECTED,"7 days, 1 hours 1 minutes",1.0,0.3499
4812,Whitelisting ATOM  LUNA LP Token as an Alliance Asset,MsgCreateAlliance,REJECTED,"7 days, 0 hours 0 minutes",1.0,0.73
874,Reduced validator minimum commission update 5 instead of 10,MsgExecLegacyContent,REJECTED,"7 days, 1 hours 11 minutes",1.0,0.1112
4814,Sayve Protocol Community Grant,MsgCommunityPoolSpend,REJECTED,"7 days, 0 hours 0 minutes",1.0,0.8691
4811,Whitelisting LUNA  USDT Liquidity Pool as an Alliance Asset VOTE ON THIS PROPOSAL IGNORE 4810,MsgCreateAlliance,REJECTED,"7 days, 0 hours 0 minutes",1.0,0.9167
4810,Whitelisting LUNA  USDT Liquidity Pool as an Alliance Asset,MsgCreateAlliance,REJECTED,"7 days, 0 hours 0 minutes",1.0,0.9996
1354,Terra Stablecoin Infrastructure Proposal by Stably,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.987763142,0.2943
3460,ERIS Protocol Grant Proposal,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.959208106,0.1016
4799,ATOM Airdrop   2024 New Version ,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.957281357,0.9998
3533,KnowhereSoil Protocol Grant Prosposal,MsgExecLegacyContent,REJECTED,"7 days, 0 hours 0 minutes",0.934351632,0.656
4809, LUNA AIRDROP Funding Program ,Text,REJECTED,"7 days, 0 hours 0 minutes",0.911728412,0.9999
1382,UST 20 in Progress ,MsgExecLegacyContent,REJECTED,"7 days, 13 hours 50 minutes",0.890926389,0.9998
1120,LUNA Airdrop ,MsgExecLegacyContent,REJECTED,"7 days, 1 hours 35 minutes",0.868451545,0.9991
1110,Airdrop LUNC,MsgExecLegacyContent,REJECTED,"7 days, 7 hours 39 minutes",0.847358311,0.9998
